names,pvals,pvals_adj,logfoldchanges,pts,pts_rest,celltype
Dgkd,6.972966315386337e-20,6.999402286582032e-18,2.270867,0.6097560975609756,0.18493326488706366,6
Ptp4a3,1.0958129160618094e-17,9.624714501698652e-16,2.3414304,0.5487804878048781,0.1546457905544148,6
Tmem243,8.342117905819787e-17,6.896024978344872e-15,2.0636132,0.5914634146341463,0.18955338809034908,6
Ptprj,2.166551797801951e-16,1.751359946639108e-14,2.3446822,0.524390243902439,0.1318018480492813,6
Pold4,9.251049923385433e-16,7.284803062514159e-14,1.8289837,0.6158536585365854,0.23447125256673512,6
Rasa3,9.32000085510443e-16,7.307600670467933e-14,1.9621358,0.5853658536585366,0.21380903490759753,6
Add3,2.076075557837276e-15,1.580326015255383e-13,1.9016912,0.5975609756097561,0.21907084188911705,6
Rasgrp2,2.555394426801636e-15,1.9211728717382343e-13,2.0217335,0.5670731707317073,0.18583162217659138,6
Sypl,2.4774954055141986e-14,1.7079759835222224e-12,1.8632008,0.573170731707317,0.20444045174537986,6
Pip4p1,2.8453018489748687e-14,1.939582816377682e-12,1.9663877,0.5426829268292683,0.16850616016427106,6
Uchl3,3.2254119901720174e-13,2.0389291227838264e-11,1.9597243,0.5121951219512195,0.15900924024640656,6
Ctsc,4.452536567077935e-12,2.590553838979197e-10,1.6569932,0.5670731707317073,0.2293377823408624,6
Slc12a6,4.379688958249089e-11,2.2860725022357887e-09,1.6429763,0.5304878048780488,0.2031570841889117,6
S1pr1,5.86977800615415e-11,3.012218381866016e-09,1.671665,0.5304878048780488,0.19545687885010268,6
Klf3,7.036479595365258e-11,3.541307044840989e-09,1.6570518,0.5304878048780488,0.20187371663244352,6
Uvrag,5.195443600242111e-10,2.42750790621031e-08,1.4710944,0.5426829268292683,0.23485626283367556,6
Snx9,1.6128183840707713e-09,7.168997337856185e-08,1.4374182,0.5426829268292683,0.2456365503080082,6
Gm42031,1.6839284531462221e-09,7.466914784108817e-08,1.5135436,0.5182926829268293,0.2202258726899384,6
Swap70,3.4764047300133477e-09,1.4943632473556198e-07,1.4053138,0.5426829268292683,0.24345482546201233,6
Dip2b,1.0108773028578737e-07,3.635377449982381e-06,1.2912973,0.5182926829268293,0.23934804928131417,6
Rgs19,3.02636259439948e-07,1.0276694839606711e-05,1.2220739,0.5182926829268293,0.24781827515400412,6
Fcer1g,4.421693789998374e-25,2.69266412831601e-21,8.825968,0.7704918032786885,0.0059531348955034835,7
Ifitm3,5.1694088635325656e-24,1.349141864683949e-20,8.293746,0.7540983606557377,0.008233058898036731,7
Ifitm2,4.503578949209446e-23,9.141764869234152e-20,5.830749,0.7540983606557377,0.042685243825205825,7
Tyrobp,4.746040111052932e-22,5.780360452588401e-19,7.707612,0.7213114754098361,0.01266624445851805,7
Lyz2,5.494625732008849e-22,6.273832343629354e-19,7.946252,0.7213114754098361,0.010766307789740342,7
Marcks,3.546151265095793e-21,3.810861027178532e-18,8.462619,0.7049180327868853,0.004306523115896137,7
Tmem176b,7.872482075048016e-21,7.56959868573959e-18,3.9890203,0.8032786885245902,0.12070930968967701,7
Ctss,3.0314284891543637e-20,2.517325775834594e-17,4.309406,0.7540983606557377,0.09981000633312223,7
Trf,7.266621264340293e-20,5.531412661593034e-17,6.9398694,0.6885245901639344,0.013932868904369854,7
Ly86,1.3400317602829507e-19,9.067051936521935e-17,6.4051347,0.6885245901639344,0.01798606713109563,7
Cd74,1.4323834843876673e-19,9.34579067009939e-17,3.8000333,0.7540983606557377,0.2143128562381254,7
Pid1,1.5353376387389938e-19,9.672097697283682e-17,10.0858345,0.6721311475409836,0.0015199493350221659,7
Alox5ap,1.953416786488059e-19,1.1152178522609484e-16,8.410179,0.6721311475409836,0.005826472450918303,7
Grn,5.060621252231212e-19,2.7191908722650597e-16,3.6874907,0.7704918032786885,0.1421152628245725,7
H2-Ab1,7.044634088316538e-18,3.0438371162400963e-15,5.285168,0.6721311475409836,0.054084863837872074,7
H2-Aa,2.9533305224975986e-17,1.1989865625668584e-14,5.593653,0.6557377049180327,0.03926535782140595,7
App,7.103934426807596e-17,2.761314426454212e-14,8.202394,0.6229508196721312,0.004433185560481318,7
H2-Eb1,3.722971459529359e-16,1.3602993118828373e-13,4.0751667,0.6721311475409836,0.1286890436985434,7
Lgmn,6.579298749624632e-16,2.3349311731658994e-13,5.619462,0.6229508196721312,0.026979100696643447,7
Spi1,6.64603541543745e-16,2.3349311731658994e-13,7.041081,0.6065573770491803,0.009753008233058897,7
Apoe,1.2138369023459889e-15,4.031924794356158e-13,6.6245875,0.6065573770491803,0.021279290690310322,7
Csf1r,1.164858387941523e-14,3.432386756339304e-12,10.260873,0.5737704918032787,0.0008866371120962635,7
Unc93b1,1.7629197549749793e-14,4.954889385175061e-12,3.476868,0.6721311475409836,0.11678277390753641,7
Cybb,1.7958940404298836e-14,4.971089124941446e-12,5.566217,0.5901639344262295,0.024065864471184292,7
Gab2,2.13705278772721e-14,5.741443732204177e-12,7.161386,0.5737704918032787,0.005699810006333122,7
Pld4,2.2839510130872797e-14,6.047174066390075e-12,7.057409,0.5737704918032787,0.008486383787207093,7
Skap2,3.5373471227601156e-14,9.101942899395008e-12,3.4431736,0.6721311475409836,0.09537682077264091,7
Cd68,3.688368892194606e-14,9.358723790486564e-12,6.381434,0.5737704918032787,0.012286257124762508,7
Ifi30,8.859891137416426e-14,2.1297546209139563e-11,3.4846385,0.639344262295082,0.1240025332488917,7
Tmem176a,1.164319731734284e-13,2.658869647381704e-11,3.7162437,0.639344262295082,0.08549715009499684,7
Ccl6,4.0340847343450937e-13,8.773654049017918e-11,8.46388,0.5409836065573771,0.0031665611146295125,7
Aldh2,7.75389080550567e-13,1.5916385519750907e-10,5.215242,0.5573770491803278,0.024445851804939835,7
Hexa,1.2529564216244586e-12,2.5154132820502456e-10,2.8360517,0.7049180327868853,0.16339455351488283,7
Ckb,1.390213978947957e-12,2.760632519717416e-10,4.2897816,0.5737704918032787,0.056998100063331225,7
Ctsh,1.9719959325178594e-12,3.832595073528593e-10,2.795729,0.6721311475409836,0.19202026599113362,7
Plbd1,2.2428394917580975e-12,4.313098386834598e-10,7.728739,0.5245901639344263,0.005699810006333122,7
Wfdc17,2.4209711943972244e-12,4.607158619837801e-10,7.6255674,0.5245901639344263,0.005193160227992401,7
Mef2c,2.5046382817020947e-12,4.717240903960367e-10,5.4252505,0.5409836065573771,0.019252691576947437,7
Rassf4,3.045211244844003e-12,5.563296423205509e-10,6.8758345,0.5245901639344263,0.007219759341355288,7
Fcgr2b,3.247930872070813e-12,5.817298931555066e-10,6.7752504,0.5245901639344263,0.009499683343888538,7
Pltp,3.5032841269459803e-12,6.177242424126568e-10,6.720044,0.5245901639344263,0.011652944901836606,7
Plek,7.1298219560249254e-12,1.2173338066786856e-09,4.7135363,0.5409836065573771,0.03128562381253958,7
Ms4a6c,7.788717200324682e-12,1.305431876447079e-09,4.670253,0.5409836065573771,0.03749208359721343,7
Eps8,1.0100944330435615e-11,1.6476263568993593e-09,7.9078794,0.5081967213114754,0.0030398986700443317,7
Tm6sf1,1.567138734020787e-11,2.5336334098960844e-09,4.375918,0.5409836065573771,0.03685877137428752,7
Ncf2,5.394590115440674e-11,8.212813901582139e-09,5.1687956,0.5081967213114754,0.02292590246991767,7
Csf2ra,1.6074023278629968e-10,2.2246691763431128e-08,4.5411353,0.5081967213114754,0.032678910702976564,7
